,budget,genres,id,keywords,overview,production_companies,runtime,tagline,title,vote_average,vote_count
0,33000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7220,"[{""id"": 473, ""name"": ""chain""}, {""id"": 1375, ""name"": ""submachine gun""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 6212, ""name"": ""smuggling""}, {""id"": 7375, ""name"": ""twin brother""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 13116, ""name"": ""one man army""}, {""id"": 14546, ""name"": ""massacre""}, {""id"": 14687, ""name"": ""extreme violence""}, {""id"": 18187, ""name"": ""family reunion""}, {""id"": 33595, ""name"": ""pier""}]","When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.","[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""VIP 3 Medienfonds"", ""id"": 827}, {""name"": ""Valhalla Motion Pictures"", ""id"": 11533}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""VIP 2 Medienfonds"", ""id"": 36326}]",124.0,"There is no justice, there is only revenge.",The Punisher,6.1,766
1,15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",744,"[{""id"": 725, ""name"": ""lovesickness""}, {""id"": 1014, ""name"": ""loss of lover""}, {""id"": 2533, ""name"": ""fighter pilot""}, {""id"": 2796, ""name"": ""self-discovery""}, {""id"": 3203, ""name"": ""pilot""}, {""id"": 3564, ""name"": ""ejection seat""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3776, ""name"": ""officer""}, {""id"": 3777, ""name"": ""training camp""}, {""id"": 3779, ""name"": ""air force""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 3851, ""name"": ""dangerous""}, {""id"": 3994, ""name"": ""battle assignment""}, {""id"": 4410, ""name"": ""u.s. navy""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 7879, ""name"": ""secret love""}, {""id"": 13001, ""name"": ""cowardliness""}, {""id"": 207414, ""name"": ""pilot school""}]","For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.","[{""name"": ""Paramount Pictures"", ""id"": 4}]",110.0,Up there with the best of the best.,Top Gun,6.7,1698
2,30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",273481,"[{""id"": 534, ""name"": ""mexico""}, {""id"": 591, ""name"": ""cia""}, {""id"": 919, ""name"": ""smoking""}, {""id"": 1556, ""name"": ""texas""}, {""id"": 1812, ""name"": ""fbi""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 11719, ""name"": ""dirty cop""}, {""id"": 13042, ""name"": ""soccer""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 18525, ""name"": ""fbi agent""}, {""id"": 160194, ""name"": ""night vision""}, {""id"": 164881, ""name"": ""death of daughter""}, {""id"": 189102, ""name"": ""tunnel""}, {""id"": 191209, ""name"": ""el paso""}, {""id"": 198423, ""name"": ""moral dilemma""}, {""id"": 208397, ""name"": ""death of wife""}, {""id"": 217064, ""name"": ""mexican cartel""}]","A young female FBI agent joins a secret CIA operation to take down a Mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit.","[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Thunder Road Pictures"", ""id"": 3528}, {""name"": ""Black Label Media"", ""id"": 33681}]",121.0,The border is just another line to cross.,Sicario,7.2,2416
3,18000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",9312,"[{""id"": 779, ""name"": ""martial arts""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 2041, ""name"": ""island""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10821, ""name"": ""sorcerer""}, {""id"": 12380, ""name"": ""tournament""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 188955, ""name"": ""hand to hand combat""}]","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Threshold Entertainment"", ""id"": 4174}]",101.0,Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,442
4,25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",59440,"[{""id"": 974, ""name"": ""bank""}, {""id"": 4613, ""name"": ""training""}, {""id"": 9849, ""name"": ""beating""}, {""id"": 9917, ""name"": ""mixed martial arts""}, {""id"": 10508, ""name"": ""teacher""}, {""id"": 14666, ""name"": ""muscleman""}, {""id"": 18543, ""name"": ""combat""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 33610, ""name"": ""gym""}, {""id"": 33611, ""name"": ""exercise""}]","The inspirational story of an estranged family that finds redemption in the unlikeliest of placesâ¦the MMA ring. Tommy Riordan (Tom Hardy), an ex-marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for âSpartaâ, the biggest MMA tournament ever held. But when Tommyâs underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart. What ensues is the most gut-wrenching, soul-stirring, and unforgettable battle of their lives.","[{""name"": ""Solaris Film"", ""id"": 1001}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Mimran Schur Pictures"", ""id"": 6573}, {""name"": ""Filmtribe"", ""id"": 12425}]",140.0,Fight for Family,Warrior,7.7,1272
5,25000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6977,"[{""id"": 1556, ""name"": ""texas""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 5616, ""name"": ""united states–mexico barrier""}, {""id"": 9937, ""name"": ""suspense""}]","Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.","[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Paramount Vantage"", ""id"": 838}, {""name"": ""Mike Zoss Productions"", ""id"": 2092}]",122.0,There are no clean getaways.,No Country for Old Men,7.7,3003
6,3500000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",50839,"[{""id"": 592, ""name"": ""capitalism""}, {""id"": 4608, ""name"": ""brokerage""}, {""id"": 5636, ""name"": ""wall street""}, {""id"": 33471, ""name"": ""downsizing""}, {""id"": 165193, ""name"": ""financial crisis""}, {""id"": 177493, ""name"": ""stock market""}, {""id"": 187243, ""name"": ""stock market crash""}, {""id"": 209493, ""name"": ""21st century""}, {""id"": 221004, ""name"": ""investment""}]",A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.,"[{""name"": ""Benaroya Pictures"", ""id"": 6692}, {""name"": ""Before the Door Pictures"", ""id"": 14861}, {""name"": ""Washington Square Films"", ""id"": 14862}, {""name"": ""Untitled Entertainment"", ""id"": 46225}]",107.0,Be first. Be smarter. Or cheat.,Margin Call,6.7,524
7,7000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",1359,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 5636, ""name"": ""wall street""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 174075, ""name"": ""white collar""}, {""id"": 174076, ""name"": ""harvard business school""}, {""id"": 174085, ""name"": ""child of divorce""}, {""id"": 174089, ""name"": ""unreliable narrator""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 217076, ""name"": ""voice imitation""}]","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Edward R. Pressman Film"", ""id"": 6455}, {""name"": ""Muse Productions"", ""id"": 15231}]",102.0,I think my mask of sanity is about to slip.,American Psycho,7.3,2066
8,56000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",98357,"[{""id"": 1919, ""name"": ""mayor""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 6078, ""name"": ""politics""}, {""id"": 8440, ""name"": ""ex-cop""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10476, ""name"": ""double crossed""}, {""id"": 155790, ""name"": ""private detective""}]","In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.","[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Inferno International"", ""id"": 7415}, {""name"": ""1984 Private Defense Contractors"", ""id"": 8532}, {""name"": ""Closest to the Hole Productions"", ""id"": 8537}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Emmett/Furla Films"", ""id"": 10405}, {""name"": ""Envision Entertainment Corporation"", ""id"": 11030}, {""name"": ""Black Bear Pictures"", ""id"": 22146}, {""name"": ""Leverage Communications"", ""id"": 25790}]",109.0,Proof Can Be a Powerful Weapon.,Broken City,5.7,593
9,80000000,"[{""id"": 35, ""name"": ""Comedy""}]",38365,"[{""id"": 2064, ""name"": ""overweight""}, {""id"": 6954, ""name"": ""swing""}, {""id"": 7600, ""name"": ""foot""}, {""id"": 11428, ""name"": ""convertible""}, {""id"": 11715, ""name"": ""arrow""}]","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.","[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Relativity Media"", ""id"": 7295}]",102.0,Boys will be boys. . . some longer than others.,Grown Ups,6.0,1705
10,85000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",298,"[{""id"": 585, ""name"": ""casino""}, {""id"": 9727, ""name"": ""thief""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 14570, ""name"": ""las vegas""}, {""id"": 159772, ""name"": ""pretending to be rich""}, {""id"": 159783, ""name"": ""labor strike""}]","Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.","[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}]",122.0,What are the odds of getting even? 13 to one.,Ocean's Thirteen,6.5,1999
11,160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",27205,"[{""id"": 1014, ""name"": ""loss of lover""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2116, ""name"": ""sleep""}, {""id"": 2117, ""name"": ""subconsciousness""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 160137, ""name"": ""female hero""}]","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Syncopy"", ""id"": 9996}]",148.0,Your mind is the scene of the crime.,Inception,8.1,13752
